1. chord.project.Config : mainClassName @ null, java.lang.String, static: true
2. chord.project.Config : srcPathName @ null, java.lang.String, static: true
3. chord.project.Config : runIDs @ null, java.lang.String, static: true
4. chord.project.Config : runtimeJvmargs @ null, java.lang.String, static: true
5. chord.project.Config : reflectKind @ null, java.lang.String, static: true
6. chord.project.Config : CHkind @ null, java.lang.String, static: true
7. chord.project.Config : scopeStdExcludeStr @ null, java.lang.String, static: true
8. chord.project.Config : scopeExtExcludeStr @ null, java.lang.String, static: true
9. chord.project.Config : scopeExcludeStr @ null, java.lang.String, static: true
10. chord.project.Config : checkStdExcludeStr @ null, java.lang.String, static: true
11. chord.project.Config : checkExtExcludeStr @ null, java.lang.String, static: true
12. chord.project.Config : checkExcludeStr @ null, java.lang.String, static: true
13. chord.project.Config : printClasses @ null, java.lang.String, static: true
14. chord.project.Config : instrSchemeFileName @ null, java.lang.String, static: true
15. chord.project.Config : javaAnalysisPathName @ null, java.lang.String, static: true
16. chord.project.Config : dlogAnalysisPathName @ null, java.lang.String, static: true
17. chord.project.Config : runAnalyses @ null, java.lang.String, static: true
18. chord.project.Config : instrKind @ null, java.lang.String, static: true
19. chord.project.Config : traceKind @ null, java.lang.String, static: true
20. chord.project.Config : printRels @ null, java.lang.String, static: true
21. chord.project.Config : userClassPathName @ null, java.lang.String, static: true
22. chord.analyses.method.RelExtraEntryPoints : extraMethodsList @ null, java.lang.String, static: true
23. chord.program.Program : runBefore @ null, java.lang.String, static: true
24. chord.project.analyses.BasicDynamicAnalysis : runBefore @ null, java.lang.String, static: true
25. chord.analyses.alias.CtxtsAnalysis : ctxtKind @ null, java.lang.String, static: true
26. chord.project.Config : traceFileName @ null, java.lang.String, static: true
27. chord.project.Config : userClassesDirName @ null, java.lang.String, static: true
28. chord.project.Config : outFileName @ null, java.lang.String, static: true
29. chord.project.Config : maxHeap @ null, java.lang.String, static: true
30. chord.project.Config : maxStack @ null, java.lang.String, static: true
31. chord.project.Config : jvmargs @ null, java.lang.String, static: true
32. chord.project.Config : workDirName @ null, java.lang.String, static: true
33. chord.project.Config : scopeKind @ null, java.lang.String, static: true
34. chord.project.Config : doSSA @ null, boolean, static: true
35. chord.project.Config : buildScope @ null, boolean, static: true
36. chord.project.Config : printAllClasses @ null, boolean, static: true
37. chord.project.Config : printProject @ null, boolean, static: true
38. chord.project.Config : printResults @ null, boolean, static: true
39. chord.project.Config : saveDomMaps @ null, boolean, static: true
40. chord.analyses.alias.CtxtsAnalysis : kobj_K @ null, int, static: true
41. chord.analyses.alias.CtxtsAnalysis : kcfa_K @ null, int, static: true
42. chord.project.Config : verbose @ null, int, static: true
43. chord.project.Config : classic @ null, boolean, static: true
44. chord.project.Config : stdJavaAnalysisPathName @ null, java.lang.String, static: true
45. chord.project.Config : extJavaAnalysisPathName @ null, java.lang.String, static: true
46. chord.project.Config : stdDlogAnalysisPathName @ null, java.lang.String, static: true
47. chord.project.Config : extDlogAnalysisPathName @ null, java.lang.String, static: true
48. chord.project.Config : useJvmti @ null, boolean, static: true
49. chord.project.Config : traceBlockSize @ null, int, static: true
50. chord.project.Config : dynamicHaltOnErr @ null, boolean, static: true
51. chord.project.Config : dynamicTimeout @ null, int, static: true
52. chord.project.Config : maxConsSize @ null, int, static: true
53. chord.project.Config : reuseScope @ null, boolean, static: true
54. chord.project.Config : reuseRels @ null, boolean, static: true
55. chord.project.Config : reuseTraces @ null, boolean, static: true
56. chord.project.Config : useBuddy @ null, boolean, static: true
57. chord.project.Config : bddbddbMaxHeap @ null, java.lang.String, static: true
58. chord.project.Config : outDirName @ null, java.lang.String, static: true
59. chord.project.Config : errFileName @ null, java.lang.String, static: true
60. chord.project.Config : reflectFileName @ null, java.lang.String, static: true
61. chord.project.Config : methodsFileName @ null, java.lang.String, static: true
62. chord.project.Config : classesFileName @ null, java.lang.String, static: true
63. chord.project.Config : bddbddbWorkDirName @ null, java.lang.String, static: true
64. chord.project.Config : bootClassesDirName @ null, java.lang.String, static: true
65. chord.program.Program : reflectexclude @ null, boolean, static: true
