1 chord.analyses.alias.CtxtsAnalysis.ctxtKind,   comparison num: 0
2 chord.project.Config.traceKind,   comparison num: 0
3 chord.project.Config.instrKind,   comparison num: 0
4 chord.project.Config.CHkind,   comparison num: 0
5 chord.project.Config.reflectKind,   comparison num: 0
6 chord.project.Config.mainClassName,   comparison num: 0
7 chord.project.analyses.BasicDynamicAnalysis.runBefore,   comparison num: 0
8 chord.program.Program.runBefore,   comparison num: 0
9 chord.project.Config.userClassPathName,   comparison num: 0
10 chord.project.Config.instrSchemeFileName,   comparison num: 0
11 chord.analyses.method.RelExtraEntryPoints.extraMethodsList,   comparison num: 0
12 chord.project.Config.dlogAnalysisPathName,   comparison num: 0
13 chord.project.Config.javaAnalysisPathName,   comparison num: 0
14 chord.project.Config.runIDs,   comparison num: 0
15 chord.project.Config.srcPathName,   comparison num: 0
16 chord.project.Config.printRels,   comparison num: 0
17 chord.project.Config.printClasses,   comparison num: 0
18 chord.project.Config.runAnalyses,   comparison num: 0
19 chord.project.Config.checkExcludeStr,   comparison num: 0
20 chord.project.Config.scopeExcludeStr,   comparison num: 0
21 chord.project.Config.runtimeJvmargs,   comparison num: 0
22 chord.project.Config.checkExtExcludeStr,   comparison num: 0
23 chord.project.Config.checkStdExcludeStr,   comparison num: 0
24 chord.project.Config.scopeExtExcludeStr,   comparison num: 0
25 chord.project.Config.scopeStdExcludeStr,   comparison num: 0
26 chord.project.Config.verbose,   comparison num: 0
27 chord.project.Config.reuseRels,   comparison num: 0
